day,accountId,maximum,average,AATotal,CCTotal,FFTotal
2,A1,227.64,227.64,0.0,0.0,0.0
2,A10,557.57,490.76,0.0,423.94,0.0
2,A13,996.67,829.4,0.0,0.0,0.0
2,A14,733.77,425.37,0.0,351.16,191.18
2,A16,820.45,653.42,0.0,353.66,0.0
2,A17,788.24,788.24,788.24,0.0,0.0
2,A18,379.86,379.86,0.0,0.0,0.0
2,A19,14.42,14.42,0.0,0.0,0.0
2,A2,775.37,775.37,0.0,0.0,0.0
2,A20,490.24,490.24,0.0,0.0,0.0
2,A21,857.83,857.83,0.0,0.0,0.0
2,A23,416.36,416.36,0.0,0.0,0.0
2,A25,291.76,291.76,291.76,0.0,0.0
2,A27,338.11,338.11,0.0,0.0,0.0
2,A29,439.49,439.49,0.0,0.0,439.49
2,A31,115.88,115.88,0.0,0.0,0.0
2,A32,499.86,392.1,0.0,0.0,0.0
2,A33,352.64,228.17,0.0,0.0,0.0
2,A34,738.28,738.28,738.28,0.0,0.0
2,A35,826.1,571.4,826.1,0.0,245.3
2,A4,732.07,608.76,0.0,0.0,0.0
2,A40,435.5,435.5,0.0,0.0,435.5
2,A41,181.65,181.65,0.0,0.0,181.65
2,A42,801.81,576.23,0.0,0.0,0.0
2,A43,886.73,662.9,1280.19,1371.42,0.0
2,A44,949.92,592.32,949.92,397.19,139.55
2,A45,662.98,662.98,0.0,0.0,0.0
2,A46,827.91,652.4,0.0,0.0,1304.79
2,A47,400.42,400.42,0.0,0.0,0.0
2,A48,193.57,193.57,193.57,0.0,0.0
2,A49,848.9,848.9,0.0,0.0,0.0
2,A5,677.89,452.07,0.0,183.1,0.0
2,A7,650.23,650.23,0.0,0.0,0.0
3,A1,227.64,227.64,0.0,0.0,0.0
3,A10,747.62,576.38,0.0,423.94,0.0
3,A11,914.89,597.09,1906.46,0.0,0.0
3,A12,928.86,683.87,0.0,0.0,438.88
3,A13,996.67,475.36,0.0,0.0,516.34
3,A14,733.77,425.37,0.0,351.16,191.18
3,A15,713.6,440.96,0.0,0.0,0.0
3,A16,820.45,653.42,0.0,353.66,0.0
3,A17,788.24,660.69,788.24,0.0,0.0
3,A18,379.86,379.86,0.0,0.0,0.0
3,A19,14.42,14.42,0.0,0.0,0.0
3,A2,775.37,775.37,0.0,0.0,0.0
3,A20,490.24,490.24,0.0,0.0,0.0
3,A21,857.83,416.95,0.0,0.0,0.0
3,A23,743.51,520.67,743.51,0.0,0.0
3,A24,298.56,298.56,0.0,0.0,0.0
3,A25,291.76,291.76,291.76,0.0,0.0
3,A27,764.79,618.77,0.0,764.79,753.42
3,A28,341.52,303.61,0.0,341.52,265.7
3,A29,495.34,398.86,0.0,0.0,439.49
3,A3,486.81,486.81,0.0,0.0,0.0
3,A30,958.29,958.29,0.0,0.0,0.0
3,A31,748.48,432.18,0.0,0.0,748.48
3,A32,499.86,392.1,0.0,0.0,0.0
3,A33,352.64,183.97,0.0,0.0,0.0
3,A34,738.28,439.4,738.28,0.0,579.92
3,A35,944.66,626.11,826.1,0.0,1189.96
3,A37,338.21,338.21,0.0,338.21,0.0
3,A4,732.07,625.67,0.0,659.49,0.0
3,A40,633.84,534.67,0.0,0.0,435.5
3,A41,181.65,181.65,0.0,0.0,181.65
